Date,value
2021-02-09,46.985618591308594
2021-02-10,47.02943420410156
2021-02-11,46.705204010009766
2021-02-12,47.15210723876953
2021-02-16,47.458797454833984
2021-02-17,47.25725936889648
2021-02-18,46.79283905029297
2021-02-19,47.30983352661133
2021-02-22,48.212398529052734
2021-02-23,48.44899368286133
2021-02-24,49.561859130859375
2021-02-25,48.25620651245117
2021-02-26,47.896934509277344
2021-03-01,49.00979995727539
2021-03-02,48.3701286315918
2021-03-03,49.027320861816406
2021-03-04,48.48403930664063
2021-03-05,49.46546173095703
2021-03-08,50.84997177124024
2021-03-09,50.67471694946289
2021-03-10,51.77881240844727
2021-03-11,52.14684295654297
2021-03-12,53.110748291015625
2021-03-15,52.77775573730469
2021-03-16,52.02416610717773
2021-03-17,52.12932968139648
2021-03-18,51.7437629699707
2021-03-19,51.46335983276367
2021-03-22,50.35005187988281
2021-03-23,49.063079833984375
2021-03-24,48.78101348876953
2021-03-25,49.733001708984375
2021-03-26,50.68501663208008
2021-03-29,50.02389907836914
2021-03-30,50.18256378173828
2021-03-31,49.8740463256836
2021-04-01,50.429386138916016
2021-04-05,50.64975357055664
2021-04-06,50.55278015136719
2021-04-07,50.200191497802734
2021-04-08,50.28833770751953
2021-04-09,50.543975830078125
2021-04-12,50.72026443481445
2021-04-13,50.2795295715332
2021-04-14,50.76433944702149
2021-04-15,50.63212203979492
2021-04-16,50.96709060668945
2021-04-19,50.7379035949707
2021-04-20,49.530269622802734
2021-04-21,50.4029426574707
2021-04-22,50.53516006469727
2021-04-23,51.35493850708008
2021-04-26,51.293235778808594
2021-04-27,51.34611892700195
2021-04-28,51.443092346191406
2021-04-29,51.77804565429688
2021-04-30,51.37256622314453
2021-05-03,51.83974838256836
2021-05-04,51.698707580566406
2021-05-05,51.79566955566406
2021-05-06,51.4078254699707
2021-05-07,52.2099609375
2021-05-10,51.58412170410156
2021-05-11,50.7026481628418
2021-05-12,49.274635314941406
2021-05-13,50.93183517456055
2021-05-14,51.64581680297852
2021-05-17,51.769229888916016
2021-05-18,51.53123092651367
2021-05-19,50.80841827392578
2021-05-20,51.26678466796875
2021-05-21,51.85737228393555
2021-05-24,51.77804565429688
2021-05-25,50.7026481628418
2021-05-26,51.54886245727539
2021-05-27,52.02486801147461
2021-05-28,52.051300048828125
2021-06-01,52.88870620727539
2021-06-02,52.6330680847168
2021-06-03,52.51848220825195
2021-06-04,52.500858306884766
2021-06-07,53.19721984863281
2021-06-08,53.84952163696289
2021-06-09,53.56744003295898
2021-06-10,52.73003768920898
2021-06-11,52.86226272583008
2021-06-14,52.624267578125
2021-06-15,53.2148551940918
2021-06-16,53.32062911987305
2021-06-17,51.91908645629883
2021-06-18,50.4029426574707
2021-06-21,51.728271484375
2021-06-22,51.76373672485352
2021-06-23,51.48004913330078
2021-06-24,52.06515502929688
2021-06-25,52.26018905639648
2021-06-28,51.20523452758789
2021-06-29,50.9304084777832
2021-06-30,51.15204620361328
2021-07-01,51.595306396484375
2021-07-02,51.09885787963867
2021-07-06,50.2921257019043
2021-07-07,49.91091537475586
2021-07-08,49.05099868774414
2021-07-09,50.51374816894531
2021-07-12,51.08112716674805
2021-07-13,49.97297668457031
2021-07-14,49.74247360229492
2021-07-15,49.84000015258789
2021-07-16,49.41446304321289
2021-07-19,47.898529052734375
2021-07-20,49.680423736572266
2021-07-21,50.31871032714844
2021-07-22,49.086456298828125
2021-07-23,49.3967399597168
2021-07-26,49.82226943969727
2021-07-27,49.63610076904297
2021-07-28,50.10594940185547
2021-07-29,50.56693649291992
2021-07-30,50.23892593383789
2021-08-02,49.88431930541992
2021-08-03,50.22119522094727
2021-08-04,49.73361587524414
2021-08-05,50.62013626098633
2021-08-06,51.63963317871094
2021-08-09,51.23183059692383
2021-08-10,51.55097961425781
2021-08-11,51.99423599243164
2021-08-12,51.63963317871094
2021-08-13,51.55097961425781
2021-08-16,51.240699768066406
2021-08-17,50.770843505859375
2021-08-18,50.558067321777344
2021-08-19,49.76907730102539
2021-08-20,50.646728515625
2021-08-23,51.04566192626953
2021-08-24,51.143184661865234
2021-08-25,51.38254165649414
2021-08-26,51.143184661865234
2021-08-27,50.92155456542969
2021-08-30,51.53324508666992
2021-08-31,51.53324508666992
2021-09-01,51.85239410400391
2021-09-02,51.84352111816406
2021-09-03,51.69281768798828
2021-09-07,51.2584228515625
2021-09-08,50.90381240844727
2021-09-09,50.72652053833008
2021-09-10,49.8931884765625
2021-09-13,50.5048828125
2021-09-14,49.78680419921875
2021-09-15,50.18574523925781
2021-09-16,50.07048416137695
2021-09-17,50.274391174316406
2021-09-20,49.47417068481445
2021-09-21,49.44744110107422
2021-09-22,50.14251327514648
2021-09-23,51.078163146972656
2021-09-24,51.078163146972656
2021-09-27,52.21878433227539
2021-09-28,51.505897521972656
2021-09-29,52.10294342041016
2021-09-30,52.00491714477539
2021-10-01,52.664337158203125
2021-10-04,52.69107055664063
2021-10-05,52.753456115722656
2021-10-06,52.789100646972656
2021-10-07,53.368309020996094
2021-10-08,53.555442810058594
2021-10-11,53.136627197265625
2021-10-12,53.27920150756836
2021-10-13,53.30592346191406
2021-10-14,53.88515090942383
2021-10-15,53.71583557128906
2021-10-18,53.7336540222168
2021-10-19,53.831687927246094
2021-10-20,54.64259719848633
2021-10-21,54.68714141845703
2021-10-22,54.8119010925293
2021-10-25,55.14161682128906
2021-10-26,54.660404205322266
2021-10-27,53.43959426879883
2021-10-28,54.00098419189453
2021-10-29,54.08119201660156
2021-11-01,55.337650299072266
2021-11-02,54.9901237487793
2021-11-03,56.04161834716797
2021-11-04,55.60498046875
2021-11-05,56.825801849365234
2021-11-08,56.656494140625
2021-11-09,56.4871826171875
2021-11-10,56.41588973999024
2021-11-11,56.718868255615234
2021-11-12,56.28223037719727
2021-11-15,56.4871826171875
2021-11-16,56.27331161499024
2021-11-17,55.783203125
2021-11-18,55.453495025634766
2021-11-19,55.0881462097168
2021-11-22,55.4445915222168
2021-11-23,55.70299911499024
2021-11-24,55.694091796875
2021-11-26,53.412864685058594
2021-11-29,53.056419372558594
2021-11-30,52.35244369506836
2021-12-01,51.48807144165039
2021-12-02,53.1455307006836
2021-12-03,52.29007339477539
2021-12-06,53.74256896972656
2021-12-07,54.0277214050293
2021-12-08,54.2772331237793
2021-12-09,53.555442810058594
2021-12-10,53.39503479003906
2021-12-13,52.682159423828125
2021-12-14,52.55740737915039
2021-12-15,52.735626220703125
2021-12-16,52.833641052246094
2021-12-17,52.521759033203125
2021-12-20,51.529056549072266
2021-12-21,53.01230239868164
2021-12-22,53.521602630615234
2021-12-23,53.96835708618164
2021-12-27,53.89687728881836
2021-12-28,54.78145599365234
2021-12-29,54.78145599365234
2021-12-30,54.77251815795898
2021-12-31,54.82613754272461
2022-01-03,55.24609375
2022-01-04,55.95196533203125
2022-01-05,55.51414489746094
2022-01-06,56.10385894775391
2022-01-07,56.42552947998047
2022-01-10,56.19321060180664
2022-01-11,56.16640472412109
2022-01-12,56.09492492675781
2022-01-13,56.30043029785156
2022-01-14,56.53275680541992
2022-01-18,55.60349655151367
2022-01-19,54.17386245727539
2022-01-20,53.01230239868164
2022-01-21,52.46725845336914
2022-01-24,52.71743774414063
2022-01-25,52.82465744018555
2022-01-26,52.663822174072266
2022-01-27,50.662353515625
2022-01-28,51.01082611083984
2022-01-31,52.02050018310547
2022-02-01,52.68169403076172
2022-02-02,52.42257690429688
