2026-03-06 16:05:24 - PERF - test_metric: 123.4500 ms | ticker=SPY | operation=test
2026-03-20 09:00:56 - PERF - vol_table_build_total: 0.0100 seconds | rows_built=3 | tickers_available=3
2026-03-20 09:00:56 - PERF - vol_table_batch_fetch: 0.0020 seconds | tickers=14 | history_records=180
2026-03-20 09:00:56 - PERF - vol_table_build_total: 0.0100 seconds | rows_built=3 | tickers_available=3
2026-03-20 09:00:57 - PERF - vol_table_batch_fetch: 0.0120 seconds | tickers=14 | history_records=2520
2026-03-20 09:00:57 - PERF - vol_table_build_total: 0.0330 seconds | rows_built=14 | tickers_available=14
2026-03-20 09:00:57 - PERF - vol_table_batch_fetch: 0.0020 seconds | tickers=14 | history_records=112
2026-03-20 09:00:57 - PERF - vol_table_build_total: 0.0202 seconds | rows_built=14 | tickers_available=14
2026-03-20 09:00:57 - PERF - vol_table_batch_fetch: 0.0010 seconds | tickers=14 | history_records=5
2026-03-20 09:00:57 - PERF - vol_table_build_total: 0.0112 seconds | rows_built=5 | tickers_available=5
2026-03-20 09:00:57 - PERF - vol_table_batch_fetch: 0.0010 seconds | tickers=14 | history_records=1
2026-03-20 09:00:57 - PERF - vol_table_build_total: 0.0070 seconds | rows_built=1 | tickers_available=1
2026-03-20 09:00:58 - PERF - vol_table_batch_fetch: 0.0020 seconds | tickers=14 | history_records=150
2026-03-20 09:00:58 - PERF - vol_table_build_total: 0.0126 seconds | rows_built=5 | tickers_available=5
2026-03-20 09:00:58 - PERF - vol_table_batch_fetch: 0.0020 seconds | tickers=14 | history_records=150
2026-03-20 09:00:58 - PERF - vol_table_build_total: 0.0127 seconds | rows_built=5 | tickers_available=5
2026-03-20 09:00:58 - PERF - vol_table_batch_fetch: 0.0020 seconds | tickers=14 | history_records=150
2026-03-20 09:00:58 - PERF - vol_table_build_total: 0.0135 seconds | rows_built=5 | tickers_available=5
2026-03-20 09:00:58 - PERF - vol_table_batch_fetch: 0.0010 seconds | tickers=14 | history_records=1
2026-03-20 09:00:58 - PERF - vol_table_build_total: 0.0070 seconds | rows_built=1 | tickers_available=1
2026-03-20 09:00:58 - PERF - vol_table_batch_fetch: 0.0020 seconds | tickers=14 | history_records=150
2026-03-20 09:00:58 - PERF - vol_table_build_total: 0.0130 seconds | rows_built=5 | tickers_available=5
2026-03-20 09:00:58 - PERF - vol_table_batch_fetch: 0.0010 seconds | tickers=14 | history_records=3
